File Name:,G:\MicroPEM\Problem_raw_file\UGF320406N_KHC1861raw.csv
Download Date:,05/18/2016
Total Download Time (s):,5.6

Device Serial #:,UGF320406N
Date/Time Hardware:,2/15/2013
Date/Time Software:,1/7/2015,v2.0.5485.32893
Participant ID#:,
Filter ID#:,KHC1861
Participant Weight (kg),NA
Inlet Aerosol Size:,PM2.5
Laser Cycling Variables:Delay - Sampling time - Off time,1,1,8
System Times,30,30
Sensor,Slope,Offset,Log Interval,High Target (ref only),Low target (ref only)
Nephelometer,3.0000,70,10
Temperature,1.0000,54,30
Humidity,1.0000,-2,10
Inlet Pressure,4095.0000,0,30,1280,768
Orifice Pressure,4095.0000,0,30,1558,1181
Flow,,,30,900,200,0.4
Accelerometer,,,5
Battery,,,60
Ventilation,NA,NA

Date,Time,RH-Corrected Nephelometer,Temp,RH,Battery,Inlet Press,Orifice Press,Flow,X-axis,Y-axis,Z-axis,Vector Sum Composite,ShutDownReason,Wearing Compliance,ValidityWearingCompliance validation
Date,Time,μg/m³,C,%,V,in H2O,in H2O,Lpm,g-unit,g-unit,g-unit,g-unit,,0=valid, 1=questionable, 2=invalid,0=valid, 1=questionable, 2=invalid


10/19/2015,14:45:55,,,,,,,,,,,,Button 2 pressed,,
10/19/2015,14:45:55,,,,,,,,,,,,Button 1 pressed,,
10/19/2015,14:45:55,,,,,,,,,,,,Button Press,,
10/19/2015,14:46:02,,,,,,,,,,,,USB was disconnected,,
10/20/2015,11:44:54,,,,,,,,,,,,Button 1 pressed,,
10/20/2015,11:44:55,,,,,,,,,,,,Start button,,
10/20/2015,11:45:00,,29.4,,4.5,0.66,0.64,0.41,1.02,-0.23,0.31,1.09,,,
10/20/2015,11:45:05,,,,,,,,0.62,-0.72,0.14,0.96,,,
10/20/2015,11:45:10,0,30.4,66.7,4.5,0.66,0.65,0.41,0.63,-0.71,0.14,0.96,,,
10/20/2015,11:45:15,,,,,,,,1.00,-0.12,-0.05,1.01,,,
10/20/2015,11:45:20,0,,65.4,,,,,0.97,0.53,0.03,1.11,,,
10/20/2015,11:45:25,,,,,,,,0.97,0.53,0.03,1.11,,,
10/20/2015,11:45:30,0,,65.3,,,,,0.97,0.53,0.02,1.10,,,
10/20/2015,11:45:35,,,,,,,,0.97,0.53,0.02,1.10,,,
10/20/2015,11:45:40,0,30.5,64.5,,0.67,0.65,0.41,0.97,0.54,0.03,1.11,,,
10/20/2015,11:45:45,,,,,,,,0.97,0.53,0.03,1.10,,,
10/20/2015,11:45:50,0,,64.4,,,,,0.97,0.53,0.02,1.11,,,
10/20/2015,11:45:55,,,,,,,,0.97,0.54,0.03,1.11,,,
10/20/2015,11:46:00,0,,63.5,,,,,0.97,0.53,0.02,1.10,,,
10/20/2015,11:46:05,,,,,,,,0.97,0.53,0.02,1.11,,,
10/20/2015,11:46:10,0,30.5,63.7,4.5,0.67,0.65,0.41,0.97,0.54,0.03,1.11,,,
10/20/2015,11:46:15,,,,,,,,0.97,0.54,0.02,1.11,,,
10/20/2015,11:46:20,0,,63.5,,,,,0.97,0.54,0.01,1.11,,,
10/20/2015,11:46:25,,,,,,,,0.97,0.54,0.03,1.11,,,
10/20/2015,11:46:30,0,,62.9,,,,,0.97,0.53,0.01,1.10,,,
10/20/2015,11:47:00,,,,,,,,0.96,0.52,0.01,1.09,,,
10/20/2015,11:47:05,,,,,,,,0.97,0.53,0.01,1.11,,,
10/20/2015,11:47:10,0,30.5,62.6,4.4,0.67,0.66,0.40,0.97,0.54,0.03,1.11,,,
10/20/2015,11:47:15,,,,,,,,0.97,0.54,0.03,1.11,,,
10/20/2015,11:47:20,0,,62.6,,,,,0.97,0.54,0.03,1.11,,,
10/20/2015,11:47:25,,,,,,,,0.97,0.54,0.02,1.11,,,
10/20/2015,11:47:30,0,,62.9,,,,,0.97,0.54,0.02,1.11,,,
10/20/2015,11:48:00,,,,,,,,0.97,0.53,0.01,1.10,,,
10/20/2015,11:48:05,,,,,,,,0.97,0.53,0.01,1.10,,,
10/20/2015,11:48:10,0,30.4,62.6,4.4,0.66,0.66,0.40,0.97,0.53,0.02,1.11,,,
10/20/2015,11:48:15,,,,,,,,0.97,0.53,0.02,1.10,,,
10/20/2015,11:48:20,0,,62.7,,,,,0.97,0.54,0.03,1.11,,,
10/20/2015,11:48:25,,,,,,,,0.97,0.54,0.02,1.11,,,
10/20/2015,11:48:30,0,,62.4,,,,,0.98,0.54,0.03,1.12,,,
10/20/2015,11:49:00,,,,,,,,0.97,0.54,0.02,1.11,,,
10/20/2015,11:49:05,,,,,,,,0.97,0.54,0.01,1.11,,,
10/20/2015,11:49:10,0,30.3,62.2,4.4,0.66,0.65,0.41,0.97,0.53,0.03,1.10,,,
10/20/2015,11:49:15,,,,,,,,0.98,0.55,0.03,1.13,,,
10/20/2015,11:49:20,0,,62.6,,,,,0.97,0.54,0.02,1.11,,,
10/20/2015,11:49:25,,,,,,,,0.97,0.55,0.03,1.12,,,
10/20/2015,11:49:30,0,,62.5,,,,,0.97,0.53,0.01,1.10,,,
10/20/2015,11:50:00,,,,,,,,0.97,0.54,0.02,1.11,,,
